Type      Name                          Path                                              Size (Bytes)   Creation Date       Modification Date   
-------------------------------------------------------------------------------------------------------------------------------------------------
File      320x240_1.jpg                 C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_testpicture\pictures\320x240_1.jpg9621           2021-02-04 13:27:10 2020-12-23 06:40:26 
File      320x240_2.jpg                 C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_testpicture\pictures\320x240_2.jpg9943           2021-02-04 13:27:10 2020-12-23 06:40:26 
File      640x480_1.jpg                 C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_testpicture\pictures\640x480_1.jpg23950          2021-02-04 13:27:10 2020-12-23 06:40:26 
File      640x480_2.jpg                 C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_testpicture\pictures\640x480_2.jpg24756          2021-02-04 13:27:10 2020-12-23 06:40:26 
File      960x720_1.jpg                 C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_testpicture\pictures\960x720_1.jpg39581          2021-02-04 13:27:10 2020-12-23 06:40:26 
File      960x720_2.jpg                 C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_testpicture\pictures\960x720_2.jpg41180          2021-02-04 13:27:10 2020-12-23 06:40:26 
File      dynctrl.c                     C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_uvc\dynctrl.c8364           2021-02-04 13:27:10 2020-12-23 06:40:26 
File      dynctrl.h                     C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_uvc\dynctrl.h4890           2021-02-04 13:27:10 2020-12-23 06:40:26 
File      huffman.h                     C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_uvc\huffman.h10280          2021-02-04 13:27:10 2020-12-23 06:40:26 
File      input_uvc.c                   C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_uvc\input_uvc.c20500          2021-02-04 13:27:10 2020-12-23 06:40:26 
File      jpeg_utils.c                  C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_uvc\jpeg_utils.c7856           2021-02-04 13:27:10 2020-12-23 06:40:26 
File      jpeg_utils.h                  C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_uvc\jpeg_utils.h90             2021-02-04 13:27:10 2020-12-23 06:40:26 
File      Makefile                      C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_uvc\Makefile969            2021-02-04 13:27:10 2020-12-23 06:40:26 
File      uvcvideo.h                    C:/Users/ZT5549/OneDrive - SUEZ/Bureau/scripts\Freenove_Three-wheeled_Smart_Car_Kit_for_Raspberry_Pi-master\mjpg-streamer\plugins\input_uvc\uvcvideo.h4036           2021-02-04 13:27:10 2020-12-23 06:40:26 
